,1800,1820,1840,1860,1880,1900,1920,1940,1960,1980,2000,2020
Ghana,1991962.15,2011086.9,2024383.15,2182454.75,2489823.0,2908813.7,3615249.75,5109168.55,8709636.5,14708942.85,24591534.95,31402536.5
Gibraltar,24221.2,29107.7,31437.85,33689.333333333336,,,,,,,,
Greece,2279493.55,2526795.6,3035505.7,3665459.4,4494100.0,5352189.3,6438983.15,7722576.75,8730662.3,10184393.6,10932464.9,11229896.5
Greenland,13624.5,37705.85,52782.4,56349.8,56884.142857142855,,,,,,,
Grenada,29410.15,30514.1,32379.25,37149.3,51779.65,65082.75,74521.35,84369.2,92240.3,98441.3,106790.75,112767.0
Guadeloupe,178285.45,293170.45,356531.45,402776.3,417241.5714285714,,,,,,,
Guam,68265.0,104024.7,150618.8,163471.08333333334,,,,,,,,
Guatemala,525738.3,646648.25,834728.65,1092886.2,1342230.2,1500488.1,1901683.15,3116398.35,5585668.7,9226803.6,14527342.5,18082717.5
Guinea,983973.6,998001.45,1041799.65,1198794.3,1426784.1,1686307.0,2170059.1,2975286.65,4119528.35,6319194.5,10214659.25,13315014.5
Guinea-Bissau,212487.25,216367.5,218169.15,231341.1,268919.75,314229.9,389521.6,530517.15,700506.35,969912.45,1525942.35,1991744.0
Guyana,112524.35,140513.05,164656.85,192444.9,267487.6,288911.7,300623.3,418889.6,686657.85,750029.5,771022.2,788444.0
Haiti,599143.7,785896.75,939874.55,1158566.8,1435195.05,1867502.25,2498796.15,3250958.05,4646482.35,6970945.5,9870417.95,11472108.0
Honduras,132400.6,185956.45,317287.6,372713.2,432673.65,647547.95,996600.9,1560474.15,2722000.0,4939121.95,8200889.05,9983801.0
Hong Kong,20136.75,23833.25,41051.45,114517.85,221350.7,447139.95,896617.25,2068981.55,3823922.05,5669936.2,6972362.8,7524894.0
Hungary,3657566.25,4447088.05,5140575.45,5878116.2,6619783.0,7542998.9,8564797.5,9449732.15,9930954.6,10245369.45,10521930.55,10750387.5
Iceland,58067.9,60671.05,62217.8,69434.6,72705.55,87049.8,108077.8,143243.7,202999.65,253321.85,312618.1,342305.0
India,204698961.9,217264475.5,235371179.65,253848194.6,279621999.65,306389427.95,347971323.3,398192970.15,556102453.6,865662699.3,1219996989.9,1386706709.0
Indonesia,16555299.6,18453727.25,21907366.7,26966423.55,33659689.8,42544501.25,53501902.85,70887337.65,114227312.65,179157345.5,240709424.65,274942704.5
Iran,6261910.65,6846567.5,7517955.65,8432255.3,9265454.8,10359275.45,12768423.0,17631956.55,28608445.55,53715807.7,73722991.4,84510856.5
Iraq,1043498.55,1140859.85,1248690.55,1563292.35,1939599.65,2889196.85,3886493.55,5618142.9,9932129.7,17648000.6,30582097.9,40700927.0
Ireland,2844298.9,2913292.7,3238507.55,3628160.05,4240934.05,4472594.95,4805080.05,5334142.9,5910435.85,6887142.4,7853840.45,8247489.5
Isle of Man,51494.7,62187.95,76362.25,84363.33333333333,,,,,,,,
Israel,209954.0,209954.0,213799.65,259393.65,312121.1,397935.15,595222.0,1330248.75,2830384.4,4583639.95,7219434.9,8722658.5
Italy,19553511.1,21462483.1,24389819.65,27663387.0,31334670.95,35594987.0,40197101.5,46586112.05,53221912.5,56874703.45,59133074.95,60668381.0
Jamaica,343993.0,386249.15,407091.65,502526.4,644912.0,801625.35,1021695.6,1411009.0,1874478.7,2413279.05,2805533.4,2967311.5
Japan,29398759.35,31308879.6,32167082.15,34517859.9,39808668.9,48927134.55,63099544.65,82562904.35,104774881.0,123590214.3,127918504.55,128548772.5
